Stock Name,Stock Id,Imputation Method,Days Before,Train Percentage MSE,Test Percentage MSE
CTSH,118,2.0,15.0,3.89e-05,0.00044467
CL,119,2.0,2.0,7.431e-05,0.00090728
CMCSA,120,2.0,8.0,2.85e-05,0.00029792
CMA,121,2.0,15.0,5.363e-05,0.00053224
CAG,122,2.0,7.0,4.33e-05,0.00022527
COP,123,2.0,14.0,5.905e-05,0.01618526
ED,124,2.0,15.0,2.108e-05,0.00072609
STZ,125,2.0,15.0,4.906e-05,0.00263284
CEG,126,2.0,15.0,0.00010563,0.00482635
COO,127,2.0,14.0,3.294e-05,0.01078688
CPRT,128,1.0,10.0,0.00013506,0.03597297
GLW,129,2.0,15.0,4.487e-05,0.00880765
CTVA,130,2.0,15.0,6.952e-05,0.00941432
CSGP,131,2.0,7.0,4.652e-05,0.00463283
COST,132,2.0,11.0,1.997e-05,0.05756351
CTRA,133,2.0,15.0,0.00016878,0.00071313
CCI,134,2.0,15.0,2.466e-05,0.00780549
CSX,135,2.0,6.0,3.921e-05,0.01270839
CMI,136,2.0,15.0,3.893e-05,0.01256476
CVS,137,2.0,12.0,3.01e-05,0.00029473
DHI,138,2.0,9.0,6.46e-05,0.02110932
DHR,139,2.0,8.0,1.919e-05,0.05814088
DRI,140,2.0,12.0,6.09e-05,0.01072651
DVA,141,2.0,15.0,3.84e-05,0.00075864
DE,142,2.0,14.0,3.51e-05,0.13341748
DAL,143,2.0,15.0,8.168e-05,0.0006477
XRAY,144,2.0,8.0,3.328e-05,0.00750914
DVN,145,2.0,14.0,0.00011606,0.00220127
DXCM,146,2.0,13.0,0.00011845,0.01220024
FANG,147,2.0,15.0,0.0001188,0.00270575
DLR,148,2.0,9.0,3.526e-05,0.00070854
DFS,149,2.0,14.0,5.933e-05,0.03567782
DISH,150,2.0,7.0,6.394e-05,0.01562137
DIS,151,2.0,15.0,2.985e-05,0.01170003
DG,152,2.0,7.0,3.564e-05,0.00948909
DLTR,153,2.0,9.0,8.526e-05,0.02434173
D,154,2.0,15.0,2.026e-05,0.0001819
DPZ,155,2.0,15.0,4.482e-05,0.00967859
DOV,156,2.0,14.0,3.932e-05,0.03936322
DOW,157,2.0,15.0,8.293e-05,0.00046703
DTE,158,2.0,9.0,2.069e-05,0.00039442
DUK,159,1.0,6.0,0.00017733,0.00238975
DD,160,2.0,7.0,5.583e-05,0.00037571
DXC,161,2.0,10.0,0.0001597,0.00108065
EMN,162,2.0,15.0,4.244e-05,0.00396902
ETN,163,2.0,15.0,3.644e-05,0.07780694
EBAY,164,2.0,14.0,3.949e-05,0.00246516
